group,n,mean,median,std,win_rate,t_stat,p_value
all,30094,-0.0005693002305456375,0.0009737107576550335,0.060578617478769525,0.5056157373562836,-1.6302790975831882,0.10305298871797362
split=test,3488,0.0009846000229845628,0.00012356005297331832,0.05450469801947373,0.5002866972477065,1.0668764824107304,0.28610147440898415
split=train,26606,-0.0007730138321510398,0.0011137925017181485,0.06132833361780945,0.5063143651807863,-2.0559658379361334,0.03979554369605111
month=202106,1136,0.004760790881258931,0.005280005203348751,0.058643348767264514,0.5484154929577465,2.736210523274402,0.006312082005107241
month=202107,1313,0.004831547087220962,0.006143417010909843,0.05843712704807728,0.5468392993145469,2.9959166249457483,0.00278756348886476
month=202108,1548,0.004620018984703363,0.004145132248242861,0.05190639205846525,0.5471576227390181,3.501937538541709,0.0004750172552740385
month=202109,1400,0.0016106032678934166,0.003031901558517488,0.05566481258983271,0.535,1.0826095219040355,0.27916833773617084
month=202110,860,-0.0057921666657252254,0.0,0.053344361572048395,0.4720930232558139,-3.184210379577457,0.001503791683499783
month=202111,1452,0.004181151313559953,0.004187388421321098,0.049958850336920095,0.5433884297520661,3.1890898635247553,0.001457703860684074
month=202112,1884,0.0033933694396053754,0.0044197947774151135,0.06652685166348919,0.5313163481953291,2.2139847355375073,0.026949239635249
month=202201,1313,-0.004658565558483112,0.0,0.07047169066492213,0.4836252856054836,-2.395354986019293,0.01674376347203504
month=202202,1212,-0.0007102778028008986,0.0,0.06485544407704144,0.47112211221122113,-0.381270421994996,0.7030694790430446
month=202203,1747,-0.002497870541030041,0.0,0.06705818802385535,0.4842587292501431,-1.5569137867464615,0.1196721856889608
month=202204,1338,-0.01196748203213603,-0.0011178384397236918,0.06938310365434437,0.4641255605381166,-6.309241015808122,3.8042677439681597e-10
month=202205,1918,0.001283271578149175,0.001536112808726787,0.06491505292402788,0.5072992700729927,0.8657598902792825,0.3867301839320605
month=202206,1809,-0.002805987336078412,0.0,0.0632943249024762,0.49087893864013266,-1.885559398619758,0.05951455471418523
month=202207,1552,0.0008578292672269319,0.004327538312681487,0.06085492836008749,0.532860824742268,0.5553297784623246,0.5787491979224323
month=202208,1557,-0.004190501584201077,0.0,0.058930812584078014,0.48233782915863843,-2.8058721983463566,0.005080535162687858
month=202209,1004,-0.006744566191515334,0.0,0.05360319477591095,0.4711155378486056,-3.986852816330234,7.181136063482423e-05
month=202210,1076,-0.0009088520082210594,0.001190094137783555,0.05842679720626951,0.5074349442379182,-0.510254950210673,0.6099776093923779
month=202211,1385,0.0011551586685512876,0.001709401709401825,0.06178766888524129,0.5104693140794224,0.6957684277682377,0.4866906774533995
month=202212,1102,-0.007166081187486816,-0.0012219390464054275,0.06059280524247195,0.4537205081669691,-3.9260105480222522,9.173001556287917e-05
month=202301,810,0.0012164861992116408,0.0002334760196787329,0.05339145552574469,0.5024691358024691,0.6484521510813057,0.5168765598605309
month=202302,733,-0.0014802126213944284,-0.0013741411617738842,0.06308346665609042,0.45566166439290584,-0.6352732068693837,0.5254487741997017
month=202303,612,-0.0008339935703314275,-0.0010888507764778292,0.053758630811559086,0.45588235294117646,-0.3837869599338563,0.7012698653203038
month=202304,645,0.0031858036379654314,0.0039020290551085197,0.043775791961052225,0.5534883720930233,1.8482675956362729,0.06502190363931787
month=202305,688,0.0028916971349505407,0.003361429991864778,0.05565306007067525,0.5348837209302325,1.3628811187925987,0.17336652124441457
time_bucket=09:30-10:00,18509,0.001771399632079566,0.003931847968545249,0.06879103190350441,0.5289858987519586,3.5032909218771286,0.0004606317740019531
time_bucket=10:00-10:30,5039,-0.0049667385827844605,0.0,0.0458941949904353,0.46636237348680293,-7.682202039860182,1.867074704968004e-14
time_bucket=10:30-11:00,3502,-0.0035962126233439503,0.0,0.044085461060333286,0.4834380354083381,-4.827341741584135,1.4428407822308183e-06
time_bucket=11:00-11:30,3044,-0.004040086925952588,-3.618992472492366e-05,0.04120819511787527,0.4540078843626807,-5.409155172721535,6.822763861530207e-08
