model,mse,mae,r2,ic,rank_ic
linear,0.0023378092099345625,0.036732344230826615,0.014466204080390344,0.13449039417342867,0.14117070988088454
lasso,0.0023518366795063886,0.036909782863372785,0.008552742333588825,0.1058181898869131,0.11424719708284878
ridge,0.002336929342283716,0.036731764863638224,0.014837123701273547,0.13542077312151532,0.14192834443619676
elastic_net,0.002376494929316901,0.03728887372636676,-0.0018422627135374903,,
random_forest,0.0022971107206999435,0.03632441430798498,0.031623180112968496,0.1824228628894194,0.1501438835714911
lightgbm,0.0025335825357143656,0.038361131545247625,-0.06806458075682742,0.12843830133615683,0.11650479461157759
xgboost,0.002338339988060775,0.036534278253885125,0.01424244767661953,0.16250601150311828,0.1510455482367131
linear_ensemble,0.0023397966033212292,0.03679244727077552,0.013628392619975283,0.12870314130637786,0.13618157874864914
tree_ensemble,0.0023239533804410976,0.036513574747377195,0.02030730872583386,0.17646270961099886,0.1537240528706312
