model,month,n,mean_y,ic,rank_ic,top_spread,top_mean
ridge,202305,624,-6.105496750488285e-05,0.17661425543249987,0.2059488249989025,0.030163903784554205,0.01753701388770909
xgboost,202304,592,0.0026119104802660126,0.14657415816229047,0.17497590830663076,0.017200372673257438,0.007699997228597636
random_forest,202301,707,-0.002176823290227048,0.23655709168878386,0.1625536687584439,0.03865762215393756,0.007264782010198576
random_forest,202302,619,-0.00951296305170996,0.19174798227735776,0.161620921362212,0.030945857065048186,-0.001278111118062866
xgboost,202302,619,-0.00951296305170996,0.16460998674930247,0.1597140542440195,0.03206856310965057,0.0012855952287776412
tree_ensemble,202302,619,-0.00951296305170996,0.17654332798179848,0.15526052339842591,0.03389998225802662,-0.005037991480159119
tree_ensemble,202301,707,-0.002176823290227048,0.20232037498914454,0.15443488656311508,0.03208356420334551,0.006057618549426159
xgboost,202305,624,-6.105496750488285e-05,0.15393615703109564,0.15122248458411724,0.030616441663807788,0.018414631165714276
tree_ensemble,202304,592,0.0026119104802660126,0.15631002881168332,0.15028338919471004,0.028989574853835843,0.01731564202813898
tree_ensemble,202305,624,-6.105496750488285e-05,0.1490513890067027,0.14385647642275062,0.03497991037350537,0.023829681245657083
random_forest,202305,624,-6.105496750488285e-05,0.14962826473494117,0.13757026196677213,0.03341110434323109,0.01649651865804864
ridge,202304,592,0.0026119104802660126,0.14239724038447366,0.1340162829875455,0.02317095532541125,0.009812057183323302
random_forest,202304,592,0.0026119104802660126,0.11980586351567499,0.12781296081634044,0.017427057815307,0.014505277550549296
xgboost,202301,707,-0.002176823290227048,0.16664733286803723,0.11984906389669352,0.029588374875071197,0.0034698326550517272
tree_ensemble,202303,514,-0.008588487210008528,0.1339418525609877,0.11940373825238189,0.016263007089757166,-0.0030193528296451376
ridge,202301,707,-0.002176823290227048,0.09951573256541105,0.11257603982451381,0.019783922355883853,0.004567336353855403
ridge,202302,619,-0.00951296305170996,0.11512728318943248,0.11084201766865542,0.02840134674849748,-0.0016249672752902224
xgboost,202303,514,-0.008588487210008528,0.12052523284988888,0.10575136663177051,0.02619998223686667,-0.004405495643753128
random_forest,202303,514,-0.008588487210008528,0.11167602975633778,0.10315469377680504,0.006726161457599096,-0.004633892883942492
ridge,202303,514,-0.008588487210008528,0.07866336702417627,0.08358990732630438,0.019352577394973425,-0.0025488070486754566
